题目,第一作者,第二作者,通讯作者,所有作者（以英文逗号隔开）,期刊,JCR分区，选取小分区中最高即可,期刊影响因子,volume，没有填-,number，没有填-,页码,年份,出版商,原文链接,pdf全称（pdf中空格替换为英文下划线_）,文章首页图片名称(大小：636×900像素，保存为pdf全称.jpg格式),摘要（复制粘贴注意从pdf粘贴出来的格式）,
"Surface_energy_of_M2AC(0001)_determined_by_density_functional_theory_(M_=_Ti,V,Cr;_A_=_Al,Ga,Ge)",D. Music,Z. Sun,D. Music,"D. Music, Z. Sun, R. Ahuja, J.M. Schneider",Surface Science,Q3,1.849,601,4,896-899,2007,"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",https://www.sciencedirect.com/science/article/pii/S0039602806011848?via%3Dihub,2007surfsci-music.pdf,2007surfsci-music.jpg,"We have studied the correlation between the valence electron configuration and the electronic structure of M(2)AC(0001) surfaces (M = Ti, V, Cr; A = Al, Ga, Ge) by density functional theory. The A surface termination is the most stable configuration for all systems studied according to our surface energy data. As the M valence electron population is increased, the surface energy increases by 22% and 12% for A = Al and Ga, respectively, while it decreases by 29% for A = Ge. This can be understood by evaluating the valence electron concentration induced changes in the surface density of states. Antibonding surface Md-Ap states are present as Ti is substituted by Cr in M(2)AC(0001) for A = Al and Ga, while antibonding surface Md-Ap states are not present as Ti is substituted by Cr in M2GeC(0001). ",
Fast_crystallization_of_chalcogenide_glass_for_rewritable_memories,Zhimei Sun,Jian Zhou,Zhimei Sun,"Zhimei Sun, Jian Zhou, Andreas Blomqvist, Börje Johansson, Rajeev Ahuja",Applied Physics Letters,Q3,3.521,93,6,61913,2008,"AMER INST PHYSICS, CIRCULATION & FULFILLMENT DIV, 2 HUNTINGTON QUADRANGLE, STE 1 N O 1, MELVILLE, NY 11747-4501 USA",https://aip.scitation.org/doi/10.1063/1.2967742,2008apl-sun_fast_crystallization.pdf,2008apl-sun_fast_crystallization.jpg,"By ab initio molecular dynamics simulations, we unraveled the unique network structure of amorphous Ge(1)Sb(2)Te(4), which shows high rank of ordering and mostly consists of distorted defective octahedrons with a small portion of distorted tetrahedrons. The phase transition from amorphous to cubic Ge(1)Sb(2)Te(4) would be mainly a process of angle rearrangements of tetrahedrons to octahedrons and vice versa. ",
Stable_nitride_complex_and_molecular_nitrogen_in_N_doped_amorphous_Ge2Sb2Te5,Zhimei Sun,Jian Zhou,Zhimei Sun,"Zhimei Sun, Jian Zhou, Hyun-Joon Shin, Andreas Blomqvist, Rajeev Ahuja",Applied Physics Letters,Q1,3.521,93,24,241908,2008,"AMER INST PHYSICS, CIRCULATION & FULFILLMENT DIV, 2 HUNTINGTON QUADRANGLE, STE 1 N O 1, MELVILLE, NY 11747-4501 USA",https://aip.scitation.org/doi/10.1063/1.3052046,2008apl-sun_stable_nitride_complex.pdf,2008apl-sun_stable_nitride_complex.jpg,"Nitrogen doping is identified to be a sufficient way to reduce the power consumption of Ge2Sb2Te5, a phase-change material for data storage. On the basis of ab initio molecular dynamics simulations, we show that the doped N in amorphous Ge2Sb2Te5 coexist as Ge(Sb, Te)N complex and N-2, and high density of the film produces more N-2. Furthermore, both Ge(Sb, Te)N complex and N-2 are stable upon annealing at 600 K.",
Local_structure_of_liquid_Ge1Sb2Te4_for_rewritable_data_storage_use,Zhimei Sun,Jian Zhou,Zhimei Sun,"Zhimei Sun, Jian Zhou, Andreas Blomqvist, Lihua Xu, Rajeev Ahuja",Journal of Physics-Condensed Matter,Q2,2.711,20,20,205102,2008,"IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND",https://iopscience.iop.org/article/10.1088/0953-8984/20/20/205102,2008jpcm-Sun_JPCM_2008.pdf,2008jpcm-Sun_JPCM_2008.jpg,"Phase-change materials based on chalcogenide alloys have been widely used for optical data storage and are promising materials for nonvolatile electrical memory use. However, the mechanism behind the utilization is unclear as yet. Since the rewritable data storage involved an extremely fast laser melt-quenched process for chalcogenide alloys, the liquid structure of which is one key to investigating the mechanism of the fast reversible phase transition and hence rewritable data storage, here by means of ab initio molecular dynamics we have studied the local structure of liquid Ge1Sb2Te4. The results show that the liquid structure gives a picture of most Sb atoms being octahedrally coordinated, and the coexistence of tetrahedral and fivefold coordination at octahedral sites for Ge atoms, while Te atoms are essentially fourfold and threefold coordinated at octahedral sites, as characterized by partial pair correlation functions and bond angle distributions. The local structure of liquid Ge1Sb2Te4 generally resembles that of the crystalline form, except for the much lower coordination number. It may be this unique liquid structure that results in the fast and reversible phase transition between crystalline and amorphous states.",
Effect_of_dopants_on_the_structure_and_properties_of_Ge2Sb2Te5_studied_by_Ab_initio_calculations,Jian Zhou,Zhimei Sun,Zhimei Sun,"Jian Zhou, Zhimei Sun, Lihua Xu, Rajeev Ahuja",Solid State Communications,Q3,1.433,148,"3, 4",113-116,2008,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",https://www.sciencedirect.com/science/article/pii/S0038109808004389?via%3Dihub,2008SSC-zhoujian-GST225.pdf,2008SSC-zhoujian-GST225.jpg,"Ge2Sb2Te5 is technologically important for phase-change random access memory applications. In this work, the effect of doping Ag, Cd, in and Sn on thestructure and chemical bonding of Ge2Sb2Te5 has been studied by ab initio calculations. It has been shown that the 3.7 at.% dopants drastically weaken theTe-Te bond strength in the -Te-(vacancy)-Te- configuration while maintaining its rocksalt symmetry. According to the analysis of formation energy, doping at the Ge site of Ge2Sb2Te5 phase is more favourable. The doped Ge2Sb2Te5 phases demonstrate either semiconductor or metallic behavior, which is attributed to the valence electrons of the dopants that mainly contribute to either the conductivity or chemical bonding. ",
"Phase_stability_and_electronic_structures_of_YbAl3−xMx_(M_=_Mg,_Cu,_Zn,_In_and_Sn)_studied_by_first-principles_calculations",Jian Zhou,Zhimei Sun,"Zhimei Sun, Ying Zhang","Jian Zhou, Zhimei Sun, Xuan Cheng, Ying Zhang",Intermetallics,Q2,3.353,17,23,995-999,2009,"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",https://www.sciencedirect.com/science/article/pii/S0966979509001320,2009intermetallics-zhou-Intermetallics-2009.pdf,2009intermetallics-zhou-Intermetallics-2009.jpg,"YbAl3 is a potential thermoelectric (TE) material to be used in TE power generator utilizing waste heat sources. This work systematically investigated the alloying behavior of M in YbAl3−xMx(M = Mg, Cu, Zn, In and Sn) and their electronic structures by first-principles calculations. The solubility of alloying elements M and phase stability of YbAl3−xMx were studied by analyzing the elastic constants, formation and cohesive energies. The results show that Mg, In and Sn are the effective alloying elements for preparing YbAl3−xMx solid solutions, which are helpful for improving TE properties of YbAl3.",
Ab_initio_study_of_the_phase_stability_and_mechanical_properties_of_5d_transition_metal_nitrides_MN2,Jian Zhou,Zhimei Sun,Zhimei Sun,"Jian Zhou, Zhimei Sun, Rajeev Ahuja",Journal of Alloys And Compounds,"Q1, Q2",4.175,472,"1, 2",425-428,2009,"ELSEVIER SCIENCE SA, PO BOX 564, 1001 LAUSANNE, SWITZERLAND",https://www.sciencedirect.com/science/article/pii/S0925838808007251?via%3Dihub,2009JAC-zhoujian-MN2.pdf,2009JAC-zhoujian-MN2.jpg,"Recently platinum nitride and some other heavy transition metal nitrides have attracted great interest due to their remarkable properties. However, there are many discrepancies in the reported results. In this work, we have systematically studied the phase stability, mechanical properties and chemical bonding characters of the heavy transition metal nitrides MN2 (M = Hf, Ta, W, Re, Os, It and Pt) in the pyrite and fluorite structures by ab initio methods. The present results will not only provide a fundamental understanding on these technologically important materials, but also benefit their practical applications. ",
Formation_of_Large_Voids_in_the_Amorphous_Phase-Change_Memory_Ge2Sb2Te5_Alloy,Zhimei Sun,Jian Zhou,Zhimei Sun,"Zhimei Sun, Jian Zhou, Andreas Blomqvist,  Borje Johansson, Rajeev Ahuja",,Q3,9.227,102,7,75504,2009,"AMER PHYSICAL SOC, ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.102.075504,2009prl-sun_PRL_2009.pdf,2009prl-sun_PRL_2009.jpg,"On the basis of ab initio molecular dynamics simulations, large voids mainly surrounded by Te atoms are observed in molten and amorphous Ge2Sb2Te5, which is due to the clustering of two- and threefold coordinated Te atoms. Furthermore, pressure shows a significant effect on the clustering of the under coordinated Te atoms and hence the formation of large voids. The present results demonstrate that both vacancies and Te play an important role in the fast reversible phase transition process.",
Investigation_on_Ge5−xSbxTe5_phase-change_material_by_first-principles_method,Naihua Miao,Baisheng Sa,Zhimei Sun,"Naihua Miao, Baisheng Sa, Jian Zhou, Lihua Xu, Zhimei Sun, Rajeev Ahuja",Applied Physics A-Materials Science & Processing,Q3,1.784,99,4,961-964,2010,"SPRINGER, 233 SPRING ST, NEW YORK, NY 10013 USA",https://link.springer.com/article/10.1007%2Fs00339-010-5709-x,2010APA-Miaonaihua.pdf,2010APA-Miaonaihua.jpg,"The structure stability and chemical bonding of Ge5-x Sb (x) Te-5 (x=0,1,2) phase-change alloys were studied by ab initio calculations. By analyzing formation energies, density of states and electron localization function, we have shown that the chemical bonding character of Ge4Sb1Te5 is quite similar to that of GeTe and hence a NaCl crystalline state is expected. The introduction of extra electrons by Sb in Ge4Sb1Te5 and Ge3Sb2Te5 results in states at the Fermi Level. With increasing Sb contents as in Ge3Sb2Te5, the chemical bonding becomes rather inhomogeneous.",
"First-principles_investigations_on_phase_stability_and_electronic_structures_of_Yb1_xMxAl3_(M_¼_Ho,_Er_and_Tm)_alloys",Jian Zhou,Baisheng Sa,Jian Zhou,"Jian Zhou, Baisheng Sa, Zhimei Sun",Intermetallics,"Q1, Q2",3.353,18,12,2394-2398,2010,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",https://www.sciencedirect.com/science/article/pii/S0966979510003730?via%3Dihub,2010intermetallics-zhou-intermetallics-2010.pdf,2010intermetallics-zhou-intermetallics-2010.jpg,"YbAl3 is a promising thermoelectric (TE) material to be used at near room temperature in TE power generator by waste heat sources. This work systematically investigated the alloying behavior of M in Yb1-xMxAl3 (M = Ho, Er and Tm) and their electronic structures by first-principles calculations. The solubility of alloying elements M and phase stability of Yb1-xMxAl3 were studied by analyzing the elastic constants, energies of formation and cohesive energies. The variation of shear modulus c(44) with composition was discussed in terms of valence electron concentration. The results show that Ho, Er and Tm can continuously substitute Yb in YbAl3 and form completely miscible Yb1-xMxAl3 solid solutions, which are helpful for improving the TE properties ofYbAl3. ",
Phase_stability_and_electronic_structure_of_Si2Sb2Te5_phase-change_material,Baisheng Sa,Nahihua Miao,Zhimei Sun,"Baisheng Sa, Nahihua Miao, Jian Zhou, Zhitang Song, Zhimei Sun, Rajeev Ahuja",Journal of Physics and Chemistry of Solids,Q2,2.752,71,8,1165-1167,2010,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",https://www.sciencedirect.com/science/article/pii/S0022369710000739?via%3Dihub,2010JPCS-sabs.pdf,2010JPCS-sabs.jpg,"On the basis of an ab initio computational study, the present work provide a full understanding on the atomic arrangements, phase stability as well as electronic structure of Si2Sb2Te5, a newly synthesized phase-change material. The results show that Si2Sb2Te5 tends to decompose into Si1Sb2Te4 or Si1Sb4Te7 or Sb2Te3, therefore, a nano-composite containing Si1Sb2Te4, Si1Sb4Te7 and Sb2Te3 may be self-generated from Si2Sb2Te5. Hence Si2Sb2Te5based nano-composite is the real structure when Si2Sb2Te5 is used in electronic memory applications. The present results agree well with the recent experimental work. ",
Ab_initio_study_of_the_structure_and_chemical_bonding_of_stable_Ge3Sb2Te6,Baisheng Sa,Naihua Miao,Zhimei Sun,"Baisheng Sa, Naihua Miao, Jian Zhou, Zhimei Sun, Rajeev Ahuja",Physical Chemistry Chemical Physics,"Q1, Q2",3.567,12,7,1585-1588,2010,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND",https://pubs.rsc.org/en/content/articlelanding/2010/CP/b920990e#!divAbstract,2010PCCP-Sabs.pdf,2010PCCP-Sabs.jpg,"The atomic arrangements and chemical bonding of stable Ge3Sb2Te6, a phase-change material, have been investigated by means of ab initio total energy calculations. The results show that an ordered stacking of Ge-Te-Ge-Te-Sb-Te-Te-Sb-Te-Ge-Te- is the most stable configuration in respect that the -Sb-Te-Te-Sb- configuration enhances the structure stability as analyzed by electron localization function (ELF) and bond energies. Ge3Sb2Te6 shows the character of a p-type semiconductor as seen from the density of states. The chemical bonding of Ge3Sb2Te6 is rather inhomogeneous; strong and weak covalence coexist between Te and Sb atoms, while the strength of the covalent bonding between Te and Ge atoms of various Te-Ge bonds is very close, whereas the interaction between the neighboring Te layers is a van der Waals-type weak bond. The bonding character of Ge3Sb2Te6 is assumed to be applied to the other pseudobinary nGeTe center dot mSb(2)Te(3) phase-change materials.",
"Comment_on_""Formation_of_Large_Voids_in_the_Amorphous_Phase-Change_Memory_Ge2Sb2Te5_Alloy""_Reply",Zhimei Sun,Jian Zhou,Zhimei Sun,"Zhimei Sun, Jian Zhou, Andreas Blomqvist, Borje Johansson, Rajeev Ahuja",Physical Review Letters,Q1,9.227,104,1,19604,2010,"AMER PHYSICAL SOC, ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.104.019604,2010prlreply-1-sun-PRL-2010-1.pdf,2010prlreply-1-sun-PRL-2010-1.jpg,-,
"Comment_on_""Formation_of_Large_Voids_in_the_Amorphous_Phase-Change_Memory_Ge2Sb2Te5_Alloy""_Reply",Zhimei Sun,Jian Zhou,Zhimei Sun,"Zhimei Sun, Jian Zhou, Andreas Blomqvist, Borje Johansson, Rajeev Ahuja",Physical Review Letters,Q1,9.227,104,1,19602,2010,"AMER PHYSICAL SOC, ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.104.019602,2010prlreply-2-sun-PRL_2010-2.pdf,2010prlreply-2-sun-PRL_2010-2.jpg,-,
First-principles_investigation_on_the_phase_stability_and_chemical_bonding_of_mInSb_·_nInTe_phase-change_random_alloys,Naihua Miao,Baisheng Sa,Zhimei Sun,"Naihua Miao, Baisheng Sa, Jian Zhou, Zhimei Sun, Andreas Blomqvist, Rajeev Ahuja",Solid State Communications,Q3,1.433,150,"29, 30",1375-1377,2010,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",https://www.sciencedirect.com/science/article/pii/S0038109810002656?via%3Dihub,2010ssc-miao.pdf,2010ssc-miao.jpg,"The phase stability and bond character of mInSb.nInTe (m = 1, n = 2 or 3) phase-change materials have been investigated by means of ab initio calculations. The results show that In3SbTe2 (IST312) is a metastable phase and is less stable than In4Sb1Te3 (IST413). IST312 will decompose into InSb and InTe as analyzed by formation energies. The chemical bonding in IST312 is rather inhomogeneous, i.e. strong and weak In-Sb or In-Te bonded pairs observed in IST312, which is similar to the available phase-change materials and may lead to its easy phase-change. While in IST413, the bond strengths of In-Sb or In-Te are identical. The present results will provide a fundamental understanding on the phase stability and chemical bonding of mInSb.nInTe (m = 1, n = 2 or 3) alloys and may be applied to develop new InSbTe based phase-change materials.",
Mechanical_properties_of_vanadium_carbide_and_a_ternary_vanadium_tungsten_carbide,Zhimei Sun,R. Ahuja,R. Ahuja,"Zhimei Sun, R. Ahuja, J.E. Lowther",Solid State Communications,Q3,1.433,150,"15, 16",697-700,2010,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",https://www.sciencedirect.com/science/article/pii/S0038109810000803?via%3Dihub,2010ssc-sun-ssc-VC2010.pdf,2010ssc-sun-ssc-VC2010.jpg,"Ab initio total energy calculations are performed on non-stoichiometric vanadium carbide with supercells representing vacancy concentrations of VC0.875 and VC0.75. The VC0.875 supercell retains a cubic symmetry whilst in the case of the VC0.75 supercell C vacancies located in close proximity have the lowest energy configuration and the cubic lattice slightly distorts to a monoclinic symmetry. Using a stress strain calculational procedure, the elastic constants of both the cubic and the monoclinic systems are deduced. In all cases C vacancies decrease the elastic moduli. A similar analysis is then applied to consider when W is incorporated into VC. In this case it is found that the elastic moduli increase with W content suggesting that a V-W-C alloy could have significant potential as a novel hard material.",
Vacancy or not: An insight on the intrinsic vacancies in rocksalt-structured GeSbTe alloys from ab initio calculations,"Zhou, J.","Sun, Z.","Sun, Z.","Zhou, J., Sun, Z., Pan, Y., Song, Z., Ahuja, R.",EPL,Q2,1.886,95,2,27002,2011,"EPL ASSOCIATION, EUROPEAN PHYSICAL SOCIETY, 6 RUE DES FRERES LUMIERE, MULHOUSE, 68200, FRANCE",https://iopscience.iop.org/article/10.1209/0295-5075/95/27002,2011epl-zhou-EPL-2011.pdf,2011epl-zhou-EPL-2011.jpg,"Rocksalt-structured GeSbTe (GST) phase-change materials contain significant amounts of intrinsic vacancies at one sublattice. On the basis of ab initio total energy calculations, we have shown that the so-called intrinsic vacancies result from geometrical voids that originate from packing spaces for lone pairs of electrons tightly bound to specific Te layers where a weak bonding exists. The existence of such geometrical voids is concomitant with a narrow band gap. The present results will shed new insights on the intrinsic vacancies in rocksalt-structured GST.",
Electronic mechanism of shear modulus enhancement in rare earth intermetallics Yb1-xTmxAl3,"Sa, Baisheng","Zhou, Jian","Sun, Zhimei","Sa Baisheng,Zhou Jian,Sun Zhimei",INTERMETALLICS,Q1,3.353,19,7,1020-1023,2011,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",https://www.sciencedirect.com/science/article/pii/S0966979511000690,2011intermetallics-sa.pdf,2011intermetallics-sa.jpg,"Rare earth elements doped thermoelectric materials Yb1−xMxAl3 (M = Ho, Er and Tm) demonstrated anomalously enhanced shear modulus [Zhou J et al, Intermetallics, 2010; 18:2394]. However, the origin of the shear modulus enhancement has not yet been understood. In this work, we shed light on this mechanism by systematically analyzing the band structure and charge density near the Fermi energy of Yb1−xTmxAl3 under various shear stresses on the basis of ab initio total energy calculations. We have showed that the valence band maximum (VBM) is very sensitive to shearing and plays an important role for the shear modulus enhancement. Since the valence electron structures of Ho, Er and Tm in Yb1−xMxAl3 (M = Ho, Er and Tm) alloys are very similar, the present results will provide a fundamental understanding on the electronic origin of shear properties in these rare earth intermetallics.",
Instability of nitrogen doped Sb2Te3 for phase change memory application,"Li, Xuelai","Rao, Feng","Li, Xuelai","Li Xuelai, Rao Feng, Song Zhitang, Zhu Min, Liu Weili, Sun Zhimei",JOURNAL OF APPLIED PHYSICS,Q2,2.328,110,9,94318,2011,"AMER INST PHYSICS, 1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA",https://aip.scitation.org/doi/10.1063/1.3660705,2011jap-lixuelai.pdf,2011jap-lixuelai.jpg,"By means of experimental methods and ab initio total energy calculations, we have studied the stability and properties of nitrogen doped Sb2Te3 (NST). The NST film displayed a higher crystallization temperature and sheet resistance than undoped Sb2Te3 (ST) film. Nevertheless, the sheet resistance of the crystalline NST film unexpectedly increased as the temperature increased when the temperature was above 260 degrees C. The X-ray photoelectron spectroscopy (XPS) showed that the nitrogen concentration and the Sb-N bonds were decreasing as the annealing temperature increased, and no nitrogen existed in the NST when annealed at 300 degrees C for 5 min. Our theoretical calculations showed that the incorporation of nitrogen into crystalline Sb2Te3 was not energetically favorable, and the nitrogen atoms preferred forming chemical bonds with Sb atoms to Te atoms.",
Ab initio study on hexagonal Ge2Sb2Te5-a phase-change material for nonvolatile memories,Sun Zhimei,Pan Yuanchun,Sun Zhimei,"Sun Zhimei, Pan Yuanchun, Sa Baisheng, Zhou Jian",Materials Science Forum,Q4,0.399,687,-,7-11,2011,"TRANS TECH PUBLICATIONS LTD, LAUBLSRUTISTR 24, CH-8717 STAFA-ZURICH, SWITZERLAND",https://www.scientific.net/MSF.687.7,2011msf-sun-qingdao-MSF.687.7-2011.pdf,2011msf-sun-qingdao-MSF.687.7-2011.jpg,"On the basis of ab initio total energy calculations, we have performed an extensive study on the stacking sequence and random occupation of Ge and Sb to make the same layer in stable hexagonal Ge2Sb2Te5 (h-GST), an excellent candidate for phase change random memory applications. The results demonstrate that the atomic arrangements have great effects on lattice parameter c and electronic properties of h-GST. h-GST changes from semiconductor to metallic behavior as varying the atomic sequence.",
Pressure-induced reversible amorphization and an amorphous-amorphous transition in Ge2Sb2Te5 phase-change memory material,"Sun, Zhimei"," Zhou, Jian","Sun Zhimei, Mao Ho-Kwang","Sun Zhimei, Zhou Jian, Pan Yuanchun, Song Zhitang, Mao Ho-Kwang ,Ahuja, Rajeev",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Q1,9.58,108,26,10410-10414,2011,"NATL ACAD SCIENCES, 2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA",https://www.pnas.org/content/108/26/10410,2011pnas-sun-PNAS-2011-1107464108.pdf,2011pnas-sun-PNAS-2011-1107464108.jpg,"Ge2Sb2Te5 (GST) is a technologically very important phase-change material that is used in digital versatile disks-random access memory and is currently studied for the use in phase-change random access memory devices. This type of data storage is achieved by the fast reversible phase transition between amorphous and crystalline GST upon heat pulse. Here we report pressure-induced reversible crystalline-amorphous and polymorphic amorphous transitions in NaCl structured GST by ab initio molecular dynamics calculations. We have showed that the onset amorphization of GST starts at approximately 18 GPa and the system become completely random at approximately 22 GPa. This amorphous state has a cubic framework (c-amorphous) of sixfold coordinations. With further increasing pressure, the c-amorphous transforms to a high-density amorphous structure with trigonal framework (t-amorphous) and an average coordination number of eight. The pressure-induced amorphization is investigated to be due to large displacements of Te atoms for which weak Te–Te bonds exist or vacancies are nearby. Upon decompressing to ambient conditions, the original cubic crystalline structure is restored for c-amorphous, whereas t-amorphous transforms to another amorphous phase that is similar to the melt-quenched amorphous GST.",
Pressure-induced topological insulating behavior in the ternary chalcogenide Ge2Sb2Te5,"Sa, Baisheng","Zhou, Jian","Sun, Zhimei","Sa Baisheng,Zhou Jian ,Song Zhitang,Sun Zhimei,Ahuja Rajeev",PHYSICAL REVIEW B,Q1,3.736,84,8,85130,2011,"AMER PHYSICAL SOC, ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.84.085130,2011prb-sa.pdf,2011prb-sa.jpg,"We unraveled the pressure-induced topological insulating behavior in Ge2Sb2Te5 (GST) by means of ab initio calculations. We have shown that the spin-orbit interaction separates the twofold degenerate Ge pxpy Sb pxpy Te pxpy state to an upper and a lower level and enhances the energy level of Ge s Sb s Te pz/Ge pz Sb pz Te s states. Consequently, the sign of parity changes by inversing the characterizations of conduction band minimum and valence band maximum in a certain range of pressures. Moreover, the surface band structure with the Dirac cone feature was observed. The present results suggest that GST-related materials are a new family of pressure-induced topological insulators.",
Origin of p-type conductivity in layered nGeTe·mSb2Te3 chalcogenide semiconductors,"Sun, Zhimei","Pan, Yuanchun","Sun, Zhimei","Sun Zhimei,Pan Yuanchun,Zhou Jian,Sa Baisheng,Ahuja Rajeev",PHYSICAL REVIEW B,Q1,3.736,83,11,113201,2011,"AMER PHYSICAL SOC, ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.83.113201,2011prb-sun-PRB-2011-1.pdf,2011prb-sun-PRB-2011-1.jpg,"Ge2Sb2Te5, an extensively studied narrow-band-gap semiconductor for phase-change memories, always displays p-type conductivity. However, the defect physics and origin of the p-type conductivity are not yet clear. We have studied various types of defects in layered nGeTe·mSb2Te3 (GST) using ab initio calculations. The results show that the formation energies of VGe are always the lowest followed by SbTe in the studied GST. The majority defects are VGe and SbTe, which results in the p-type conductivity of GST. Although Ge2Sb2Te5 always has a p-type character, one can make both p- and n-type GeSb2Te4 and GeSb4Te7 by tuning the atomic chemical environments.",
Mechanical properties and electronic structure of the incompressible rhenium carbides and nitrides: A first-principles study,"Miao, Naihua","Sa, Baisheng","Sun, Zhimei","Miao Naihua,Sa Baisheng,Zhou Jian ,Song Zhitang,Sun Zhimei,Ahuja Rajeev",SOLID STATE COMMUNICATIONS,Q3,1.433,151,23,1842-1845,2011,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",https://www.sciencedirect.com/science/article/pii/S0038109811004212?via%3Dihub,2011ssc-miao.pdf,2011ssc-miao.jpg,"By means of first-principles calculations, the structural stability, mechanical properties and electronic structure of the newly synthesized incompressible Re2C, Re2N, Re3N and an analogous compound Re3C have been investigated. Our results agree well with the available experimental and theoretical data. The proposed Re3C is shown to be energetically, mechanically and dynamically stable and also incompressible. Furthermore, it is suggested that the incompressibility of these compounds is originated from the strong covalent bonding character with the hybridization of 5d orbital of Re and the 2p orbital of C or N, and a zigzag topology of interconnected bonds, e.g., Re-Re, Re-C or Re-N bonding.",
"Ab initio study of Sb2SexTe3-x(x=0, 1, 2) phase change materials",Li Xuelai,"Sun, Zhimei","Sun, Zhimei","Li Xuelai,Sun Zhimei,Song Zhitang,Rao Feng,Wu Liangcai,Liu Weili",SOLID STATE SCIENCES,Q2,2.155,13,1,131-134,2011,"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",https://www.sciencedirect.com/science/article/pii/S1293255810004255?via%3Dihub,2011sss-lixuelai.pdf,2011sss-lixuelai.jpg,"By means of ab lain total energy calculations, we have investigated the structure and properties of Sb2SexTe3-x (x = 0, 1, 2) alloys, a family of phase change materials for data storage. On the basis of analyzing the chemical bonding and electronic properties of Sb2SexTe3-x (x = 1, 2) and Sb2Te3 alloys, we have shown that the crystalline-to-amorphous transition of Sb2Se2Te may be faster than that of Sb2Te3. Furthermore, the substitution of Te by Se in Sb2Te3 can increases the electric resistance of Sb2SexTe3-x (x = 1, 2) alloys and hence may lower the reset power consumption. (C) 2010 Elsevier Masson SAS. All rights reserved.",
Strain-induced topological insulating behavior in ternary chalcogenide Ge2Sb2Te5,"Sa, B","Zhou, J.","Sun, Z.","Sa, B.,Zhou, J.,Sun, Z.,Ahuja, R.",EPL,Q2,1.886,97,2,27003,2011,"EPL ASSOCIATION, EUROPEAN PHYSICAL SOCIETY, 6 RUE DES FRERES LUMIERE, MULHOUSE, 68200, FRANCE",https://iopscience.iop.org/article/10.1209/0295-5075/97/27003,2012epl-sa.pdf,2012epl-sa.jpg,"We unraveled the strain-induced topological insulating behavior in Ge2Sb2Te5 (GST) by means of ab initio calculations. The semiconductor–to–topological-insulator (TI) transition of Ge2Sb2Te5 were induced by the strains along the 100 and 110 direction as well as the shear strains. Ge2Sb2Te5 exhibits three types of TI-characterized conducting surface states: the single Dirac cone feature, the odd band-type and the Bi2Se3-type. The physical origin of the semiconductor-TI transition is the strain-induced inversion of the characterizations of conduction band minimum and valence band maximum with spin-orbit coupling. The present results suggest that GST-related materials are a new family of strain-induced TI.",
